('!',)	('!', 'SENT')=2,
('seriously',)	('seriously', 'RB')=1,
('set',)	('set', 'VVN')=3,('set', 'NN')=2,
('sets',)	('set', 'VVZ')=1,
('settled',)	('settle', 'VVN')=1,
('settlement',)	('settlement', 'NN')=2,
('several',)	('several', 'JJ')=1,
('severely',)	('severely', 'RB')=1,
('sexual',)	('sexual', 'JJ')=4,
('shabby',)	('shabby', 'JJ')=1,
('shameful',)	('shameful', 'JJ')=1,
('shaped',)	('shape', 'VVN')=2,
('share',)	('share', 'VV')=1,
('shared',)	('share', 'VVN')=1,
('she',)	('she', 'PP')=11,
('shed',)	('shed', 'VVN')=1,
('shen',)	('shen', 'JJ')=1,
('shit',)	('shit', 'NN')=1,
('shop',)	('shop', 'NN')=1,
('shopkeepers',)	('shopkeeper', 'NNS')=1,
('shot',)	('shoot', 'VVN')=1,
('should',)	('should', 'MD')=5,
('show',)	('show', 'NN')=1,
('shown',)	('show', 'VVN')=2,
('shows',)	('show', 'VVZ')=1,
('shrift',)	('shrift', 'NN')=1,
('shut',)	('shut', 'VVD')=1,
('shy',)	('shy', 'JJ')=1,
('sick',)	('sick', 'JJ')=2,
('side',)	('side', 'NN')=1,
('signals',)	('signal', 'VVZ')=1,
('significance',)	('significance', 'NN')=1,
('significant',)	('significant', 'JJ')=1,
('silence',)	('silence', 'NN')=1,
('silly',)	('silly', 'JJ')=1,
('silver',)	('silver', 'NN')=1,
('similar',)	('similar', 'JJ')=2,
('simple',)	('simple', 'JJ')=3,
('simpler',)	('simple', 'JJR')=1,
('simplicity',)	('simpleness', 'NN')=2,
('since',)	('since', 'IN')=4,
('single',)	('single', 'JJ')=1,
('sink',)	('sink', 'NN')=1,
('sinking',)	('sink', 'VVG')=1,
('sixty-eight',)	('sixty-eight', 'NP')=1,
('size',)	('size', 'NN')=1,
('skies',)	('sky', 'NNS')=1,
('sky',)	('sky', 'NN')=1,
('slave',)	('slave', 'NN')=1,
('slavery',)	('slavery', 'NN')=1,
('slavish',)	('slavish', 'JJ')=2,
('slightly',)	('slightly', 'RB')=1,
('slum',)	('slum', 'NN')=2,
('slums',)	('slum', 'NNS')=1,
('small',)	('small', 'JJ')=3,
('smashed',)	('smash', 'VVN')=1,
('smell',)	('smell', 'NN')=1,
('smoke',)	('smoke', 'VVP')=1,
('smoulder',)	('smoulder', 'NN')=1,
('so',)	('so', 'RB')=11,('so', 'IN')=1,
('so that',)	('so_that', 'NN')=1,
('soaring',)	('soar', 'VVG')=1,
('social',)	('social', 'JJ')=1,
('socialist',)	('socialist', 'JJ')=1,
('societies',)	('society', 'NNS')=1,
('society',)	('society', 'NN')=2,
('solidarity',)	('solidarity', 'NN')=1,
('solitary',)	('solitary', 'JJ')=2,
('sombre',)	('sombre', 'JJ')=1,
('some',)	('some', 'DT')=16,
('somehow',)	('somehow', 'RB')=1,
('someone',)	('someone', 'NN')=1,
('something',)	('something', 'NN')=3,
('sometimes',)	('sometimes', 'RB')=3,
('somewhat',)	('somewhat', 'RB')=1,
('somewhere',)	('somewhere', 'RB')=1,
('somnambulistic',)	('somnambulistic', 'JJ')=2,
('somnambulists',)	('somnambulist', 'NNS')=1,
('soon',)	('soon', 'RB')=2,
('sort',)	('sort', 'NN')=7,
('sort of',)	('sort_of', 'JJ')=2,
('sound',)	('sound', 'NN')=1,
('south',)	('south', 'NN')=1,
('space',)	('space', 'NN')=1,
('spacious',)	('spacious', 'JJ')=1,
('spectator',)	('spectator', 'NN')=1,
('speeches',)	('speech', 'NNS')=1,
('spent',)	('spend', 'VVD')=1,
('spirit',)	('spirit', 'NN')=1,
('spiritual',)	('spiritual', 'JJ')=2,
('spits',)	('spit', 'VVZ')=1,
('spoke',)	('speak', 'VVD')=2,
('spoken',)	('speak', 'VVN')=3,
('spreads',)	('spread', 'NNS')=1,
('squinting',)	('squint', 'VVG')=1,
('stabbed',)	('stab', 'VVN')=1,
('stage',)	('stage', 'NN')=6,
('stages',)	('stage', 'NNS')=4,
('stall',)	('stall', 'NN')=1,
('stand',)	('stand', 'VVP')=1,
('standards',)	('standard', 'NNS')=4,
('standing',)	('standing', 'NN')=1,
('start',)	('start', 'NN')=1,
('starting',)	('start', 'VVG')=1,
('starts',)	('start', 'VVZ')=1,
('starveling',)	('starveling', 'JJ')=1,
('state',)	('state', 'NN')=2,
('statement',)	('statement', 'NN')=1,
('states',)	('state', 'NNS')=3,
('status',)	('status', 'NN')=1,
('steamer',)	('steamer', 'NN')=2,
('step',)	('step', 'NN')=1,
('stepped',)	('step', 'VVD')=1,
('sterile',)	('sterile', 'JJ')=1,
('still',)	('still', 'RB')=2,
('stimulus',)	('stimulus', 'NN')=1,
('sting',)	('sting', 'NN')=2,
('stock',)	('stock', 'NN')=2,
('stoicism',)	('stoicism', 'NN')=1,
('stood',)	('stand', 'VVD')=1,
('stops',)	('stop', 'VVZ')=1,
('store',)	('store', 'NN')=1,('store', 'VVP')=1,
('stories',)	('story', 'NNS')=1,
('story',)	('storey', 'NN')=3,
('straightforwardly',)	('straightforwardly', 'RB')=1,
('strange',)	('strange', 'JJ')=1,
('stranger',)	('stranger', 'NN')=2,
('strangers',)	('stranger', 'NNS')=2,
('streets',)	('street', 'NNS')=2,
('strength',)	('strength', 'NN')=2,
('strong',)	('strong', 'JJ')=1,
('struggles',)	('struggle', 'NNS')=1,
('struggling',)	('struggle', 'VVG')=1,
('studied',)	('study', 'VVN')=2,
('study',)	('study', 'NN')=1,
('stultifying',)	('stultify', 'VVG')=1,
('stupid',)	('stupid', 'JJ')=1,
('style',)	('style', 'NN')=2,
('stylisation',)	('stylization', 'NN')=1,
('stylised',)	('stylize', 'VVN')=1,
('stylish',)	('stylish', 'JJ')=1,
('subdued',)	('subdue', 'VVN')=2,
('subject',)	('subject', 'NN')=2,
('subjects',)	('subject', 'NNS')=1,
('subsequent to',)	('subsequent_to', 'NN')=1,
('subtle',)	('subtle', 'JJ')=1,
('subtract',)	('subtract', 'VV')=1,
('suburb',)	('suburb', 'NN')=1,
('succeeded',)	('succeed', 'VVN')=1,
('successive',)	('successive', 'JJ')=2,
('successively',)	('successively', 'RB')=1,
('such',)	('such', 'PDT')=6,('such', 'JJ')=6,
('suffered',)	('suffer', 'VVN')=1,
('suffering',)	('suffer', 'VVG')=1,
('suggested',)	('suggest', 'VVN')=2,('suggest', 'VVD')=1,
('suggesting',)	('suggest', 'VVG')=1,
('suicide',)	('suicide', 'NN')=1,
('supper',)	('supper', 'NN')=1,
('supplied',)	('supply', 'VVD')=1,
('supplies',)	('supply', 'VVZ')=1,
('suppose',)	('suppose', 'VVP')=1,
('supposing',)	('suppose', 'VVG')=1,
('surface',)	('surface', 'NN')=1,
('surprise',)	('surprise', 'NN')=1,
('surrounds',)	('surround', 'VVZ')=1,
('survival',)	('survival', 'NN')=1,
('survive',)	('survive', 'VV')=1,
('suspicious',)	('suspicious', 'JJ')=1,
('sweet',)	('sweet', 'JJ')=1,
('symbolised',)	('symbolize', 'VVN')=1,
('symbolism',)	('symbolism', 'NN')=1,
('sympathy',)	('sympathy', 'NN')=3,
('take',)	('take', 'VV')=3,('take', 'VVP')=1,
('taken',)	('take', 'VVN')=5,
('takes',)	('take', 'VVZ')=6,
('taking',)	('take', 'VVG')=1,
('talent',)	('talent', 'NN')=1,
('talked',)	('talk', 'VVN')=1,
('talking',)	('talk', 'VVG')=2,
('taste',)	('taste', 'NN')=1,
('teaches',)	('teach', 'VVZ')=1,
('telephone',)	('telephone', 'NN')=1,
('tell',)	('tell', 'VVP')=1,
('tells',)	('tell', 'VVZ')=3,
('tendency',)	('tendency', 'NN')=1,
('tenderness',)	('tenderness', 'NN')=1,
('tends',)	('tend', 'VVZ')=1,
('tensions',)	('tension', 'NNS')=1,
('terrestrial',)	('terrestrial', 'JJ')=1,
('testament',)	('testament', 'NN')=1,
('testify',)	('testify', 'VV')=1,
('tether',)	('tether', 'NN')=1,
('than',)	('than', 'IN')=12,
('that',)	('that', 'IN')=63,('that', 'DT')=14,('that', 'WDT')=12,
('the',)	('the', 'DT')=499,
('their',)	('their', 'PP$')=21,
('them',)	('them', 'PP')=12,
('theme',)	('theme', 'NN')=4,
('themselves',)	('themselves', 'PP')=3,
('then',)	('then', 'RB')=8,
('theories',)	('theory', 'NNS')=1,
('theory',)	('theory', 'NN')=4,
('there',)	('there', 'EX')=17,('there', 'RB')=6,
('these',)	('these', 'DT')=16,
('they',)	('they', 'PP')=24,
('thick-stalked',)	('thick-stalked', 'JJ')=1,
('thing',)	('thing', 'NN')=1,
('things',)	('thing', 'NNS')=2,
('think',)	('think', 'VV')=2,('think', 'VVP')=1,
('thinking',)	('think', 'VVG')=1,
('thinks',)	('think', 'VVZ')=1,
('third',)	('third', 'JJ')=2,('third', 'NN')=1,
('this',)	('this', 'DT')=33,
('those',)	('those', 'DT')=8,
('though',)	('though', 'IN')=2,('though', 'RB')=2,
('thought',)	('think', 'VVN')=4,('think', 'VVD')=3,
('thoughts',)	('thought', 'NNS')=1,
('threatened',)	('threaten', 'VVN')=1,
('threatener',)	('threatener', 'NN')=1,
('threatens',)	('threaten', 'VVZ')=1,
('three',)	('three', 'CD')=4,
('through',)	('through', 'IN')=10,
('throughout',)	('throughout', 'IN')=1,
('thus',)	('thus', 'RB')=1,
('tight',)	('tight', 'JJ')=2,
('time',)	('time', 'NN')=12,
('times',)	('time', 'NNS')=3,
('tired',)	('tire', 'VVN')=1,('tired', 'JJ')=1,
('tires',)	('tire', 'VVZ')=1,
('title',)	('title', 'NN')=2,
('to',)	('to', 'TO')=234,
('together',)	('together', 'RB')=3,
('told',)	('tell', 'VVN')=1,
('too',)	('too', 'RB')=8,
('took',)	('take', 'VVD')=2,
('totem',)	('totem', 'NN')=1,
('totems',)	('totem', 'NNS')=1,
('tourists',)	('tourist', 'NNS')=1,
('toward',)	('toward', 'IN')=1,
('towards',)	('towards', 'IN')=5,
('town',)	('town', 'NN')=10,
('towns',)	('town', 'NNS')=1,
('township',)	('township', 'NN')=1,
('trade',)	('trade', 'NN')=2,
('traders',)	('trader', 'NNS')=1,
('trading',)	('trading', 'NN')=1,
('tradition',)	('tradition', 'NN')=3,
('tragedies',)	('tragedy', 'NNS')=1,
('trained',)	('train', 'VVN')=1,
('training',)	('training', 'NN')=1,
('tramping',)	('tramp', 'VVG')=1,
('transistors',)	('transistor', 'NNS')=1,
('trapped',)	('trap', 'VVN')=1,
('travellers',)	('traveller', 'NNS')=1,
('travelling',)	('travel', 'VVG')=2,
('treachery',)	('treachery', 'NN')=1,
('treated',)	('treat', 'VVN')=1,
('treaties',)	('treaty', 'NNS')=2,
('treatment',)	('treatment', 'NN')=2,
('treatments',)	('treatment', 'NNS')=1,
('treats',)	('treat', 'VVZ')=1,
('treks',)	('trek', 'VVZ')=1,
('trial',)	('trial', 'NN')=1,
('tribal',)	('tribal', 'JJ')=2,
('tried',)	('try', 'VVD')=1,('try', 'VVN')=1,
('tries',)	('try', 'VVZ')=1,
('trouble',)	('trouble', 'NN')=1,
('troubles',)	('trouble', 'NNS')=1,
('true',)	('true', 'JJ')=3,
('truth',)	('truth', 'NN')=1,
('trying',)	('try', 'VVG')=2,
('turned',)	('turn', 'VVD')=1,('turn', 'VVN')=1,
('twentieth',)	('twentieth', 'JJ')=1,
('twentieth-century',)	('twentieth-century', 'NN')=1,
('two',)	('two', 'CD')=12,
('types',)	('type', 'NNS')=1,
('unassailable',)	('unassailable', 'JJ')=1,
('under',)	('under', 'IN')=1,
('underlie',)	('underlie', 'VV')=1,
('understand',)	('understand', 'VV')=1,
('understanding',)	('understanding', 'NN')=4,
('understands',)	('understand', 'VVZ')=1,
('understood',)	('understand', 'VVN')=2,
('underwent',)	('undergo', 'VVD')=1,
('undetected',)	('undetected', 'JJ')=1,
('undoubtedly',)	('undoubtedly', 'RB')=1,
('uneasy',)	('uneasy', 'JJ')=1,
('unexpected',)	('unexpected', 'JJ')=1,
('unfailing',)	('unfailing', 'JJ')=1,
('unheard-of',)	('unheard-of', 'JJ')=1,
('unimportant',)	('unimportant', 'JJ')=2,
('uninteresting',)	('uninterest', 'VVG')=1,
('union',)	('union', 'NN')=2,
('unity',)	('unity', 'NN')=1,
('unlikely',)	('unlikely', 'JJ')=1,
('unmistakably',)	('unmistakably', 'RB')=1,
('unrests',)	('unrest', 'NNS')=1,
('unseeing',)	('unseeing', 'JJ')=1,
('unsuccessful',)	('unsuccessful', 'JJ')=1,
('up',)	('up', 'RP')=10,('up', 'RB')=3,
('up to',)	('up_to', 'RB')=2,
('uplifted',)	('uplift', 'VVN')=1,
('upon',)	('upon', 'IN')=1,
('upper-class',)	('upper-class', 'JJ')=1,
('upriver',)	('upriver', 'NN')=1,
('upset',)	('upset', 'VVN')=1,
('us',)	('us', 'PP')=5,
('use',)	('use', 'NN')=2,
('used',)	('use', 'VVN')=6,('use', 'VVD')=3,
('useful',)	('useful', 'JJ')=3,
('usefully',)	('usefully', 'RB')=1,
('user',)	('user', 'NN')=1,
('usual',)	('usual', 'JJ')=1,
('vague',)	('vague', 'JJ')=2,
('validity',)	('validity', 'NN')=1,
('valuables',)	('valuable', 'NNS')=1,
('variations',)	('variation', 'NNS')=1,
('varieties',)	('variety', 'NNS')=2,
('vegetation',)	('vegetation', 'NN')=1,
('vengeance',)	('vengeance', 'NN')=1,
('verbal',)	('verbal', 'JJ')=2,
('verges',)	('verge', 'NNS')=1,
('version',)	('version', 'NN')=2,
('very',)	('very', 'RB')=8,
('vessels',)	('vessel', 'NNS')=1,
('victim',)	('victim', 'NN')=4,
('victory',)	('victory', 'NN')=1,
('view',)	('view', 'NN')=4,
('viewed',)	('view', 'VVN')=1,
('viewer',)	('viewer', 'NN')=3,
('viewpoint',)	('viewpoint', 'NN')=1,
('viewpoints',)	('viewpoint', 'NNS')=1,
('violator',)	('violator', 'NN')=1,
('violence',)	('violence', 'NN')=2,
('virtue',)	('virtue', 'NN')=1,
('visibility',)	('visibility', 'NN')=1,
('visible',)	('visible', 'JJ')=2,
('vision',)	('vision', 'NN')=1,
('visit',)	('visit', 'NN')=1,
('visual',)	('visual', 'JJ')=3,
('wandered',)	('wander', 'VVN')=1,
('wandering',)	('wander', 'VVG')=1,
('want',)	('want', 'VV')=3,('want', 'VVP')=2,
('wanted',)	('want', 'VVD')=2,
('wants',)	('want', 'VVZ')=1,
('war',)	('war', 'NN')=1,
('warm',)	('warm', 'JJ')=1,
('was',)	('be', 'VBD')=38,
('waste',)	('waste', 'NN')=1,
('wasting',)	('waste', 'VVG')=1,
('watched',)	('watch', 'VVN')=1,
('watching',)	('watch', 'VVG')=1,
('water',)	('water', 'NN')=3,
('way',)	('way', 'NN')=8,
('ways',)	('way', 'NNS')=1,
('we',)	('we', 'PP')=7,
('weakening',)	('weaken', 'VVG')=1,
('wealth',)	('wealth', 'NN')=1,
('wearing',)	('wear', 'VVG')=1,
('weeks',)	('week', 'NNS')=1,
('weighed',)	('weigh', 'VVN')=1,
('welfare',)	('welfare', 'NN')=2,
('well',)	('well', 'RB')=2,
('well-paid',)	('well-paid', 'JJ')=1,
('went',)	('go', 'VVD')=2,
('were',)	('be', 'VBD')=12,
('west',)	('west', 'NN')=1,
('what',)	('what', 'WP')=24,
('whatever',)	('whatever', 'WDT')=2,
('when',)	('when', 'WRB')=12,
('where',)	('where', 'WRB')=18,
('whereas',)	('whereas', 'IN')=1,
('which',)	('which', 'WDT')=63,
('while',)	('while', 'IN')=7,('while', 'NN')=1,
('white',)	('white', 'JJ')=6,
('white-liberal',)	('white-liberal', 'JJ')=1,
('whites',)	('white', 'NNS')=1,
('who',)	('who', 'WP')=40,
('whole',)	('whole', 'JJ')=3,
('whom',)	('whom', 'WP')=4,
('whose',)	('whose', 'WP$')=9,
('why',)	('why', 'WRB')=2,
('wife',)	('wife', 'NN')=3,
('wild',)	('wild', 'JJ')=3,
('will',)	('will', 'MD')=8,
('willing',)	('willing', 'JJ')=1,
('win',)	('win', 'VV')=3,
('win.',)	('win.', 'NP')=1,
('wind',)	('wind', 'NN')=1,
('winning',)	('win', 'VVG')=1,
('wish',)	('wish', 'VVP')=1,('wish', 'NN')=1,
('with',)	('with', 'IN')=51,
('within',)	('within', 'IN')=2,
('without',)	('without', 'IN')=3,
('witnesses',)	('witness', 'NNS')=1,
('woman',)	('woman', 'NN')=10,
('wonders',)	('wonder', 'NNS')=1,
('woodland',)	('woodland', 'NN')=1,
('word',)	('word', 'NN')=1,
('words',)	('word', 'NNS')=9,
('work',)	('work', 'NN')=21,('work', 'VV')=1,('work', 'VVP')=1,
('worker',)	('worker', 'NN')=1,
('workers',)	('worker', 'NNS')=1,
('working',)	('work', 'VVG')=1,
('works',)	('work', 'NNS')=1,
('world',)	('world', 'NN')=13,
('worldly',)	('worldly', 'JJ')=1,
('worrying',)	('worry', 'VVG')=1,
('worse',)	('bad', 'JJR')=1,
('worth',)	('worth', 'JJ')=1,
('would',)	('would', 'MD')=6,
('wound',)	('wind', 'VV')=1,
('wound-up',)	('wound-up', 'JJ')=1,
('write',)	('write', 'VV')=1,
('writer',)	('writer', 'NN')=6,
('writers',)	('writer', 'NNS')=2,
('writes',)	('write', 'VVZ')=1,
('writing',)	('writing', 'NN')=1,
('written',)	('write', 'VVN')=4,
('wrong',)	('wrong', 'JJ')=1,
('wrote',)	('write', 'VVD')=2,
('yantra',)	('yantra', 'NN')=1,
('years',)	('year', 'NNS')=3,
('yellow',)	('yellow', 'JJ')=1,
('yet',)	('yet', 'RB')=3,
('yields',)	('yield', 'VVZ')=1,
('you',)	('you', 'PP')=3,
('young',)	('young', 'JJ')=3,
('your',)	('your', 'PP$')=1,
('yourself',)	('yourself', 'PP')=1,
('youth',)	('youth', 'NN')=1,
('yuan',)	('yuan', 'NN')=3,
('zone',)	('zone', 'NN')=1,
('zones',)	('zone', 'NNS')=1,
